region_id,region_type,region
111413,neigh,Apache Wells; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417645,neigh,Highland Groves At Morrison Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
112218,neigh,Knoell East; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
143948,neigh,Speedway; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
116784,neigh,Mountain Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
257661,neigh,Ridgeview; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
276195,neigh,Avondale; AZ; Tucson; Pima County
417853,neigh,Rancho del Lago; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
275279,neigh,Samos; AZ; Tucson; Pima County
273372,neigh,Country Glenn; AZ; Tucson; Pima County
417926,neigh,North Center Street; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417905,neigh,Marlborough at Dana Ranch; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
417842,neigh,Hermosa Vista Flood; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
761724,neigh,Swiss Manor; AZ; Flagstaff; Coconino County
417943,neigh,Lesueur Estates; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
274214,neigh,La Madera; AZ; Tucson; Pima County
267906,neigh,Broadmor; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417859,neigh,Fraser Fields; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
267929,neigh,Evergreen; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
417724,neigh,Park Promenade; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Chandler
417683,neigh,Neely Commons; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Gilbert
276465,neigh,Mountain View; AZ; Tucson; Pima County
267980,neigh,University Heights; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
273435,neigh,Dava-Lakeshore; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
275242,neigh,Rose; AZ; Tucson; Pima County
268352,neigh,Northpointe; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Mesa
272797,neigh,Armory Park; AZ; Tucson; Pima County
274917,neigh,Optimist Park SE; AZ; Phoenix-Mesa-Scottsdale; Maricopa County; Tempe
